tutanak_id,kaynak,donem,yasama_yili,butce_yili,tarih,baslik,tip,yerel_pdf_yol,yerel_txt_yol,indir_durum,parse_durum,sayfa_sayisi,kelime_sayisi,kalite_skoru,sure_sn,hata_mesaji
1014,owa,23,4,2010,2009-11-17,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091117_1014_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091117_1014_owa.txt,ok,ok,75,60664,9.3,2.0900000000000034,NA
1015,owa,23,4,2010,2009-11-18,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091118_1015_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091118_1015_owa.txt,ok,ok,61,46332,9.3,2.1599999999999966,NA
1016,owa,23,4,2010,2009-11-19,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091119_1016_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091119_1016_owa.txt,ok,ok,75,57853,9.3,2.1700000000000017,NA
1017,owa,23,4,2010,2009-11-20,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091120_1017_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091120_1017_owa.txt,ok,ok,67,53664,9.3,2.1499999999999986,NA
1018,owa,23,4,2010,2009-11-23,2010 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2008 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20091123_1018_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20091123_1018_owa.txt,ok,ok,84,62741,9.2,2.1399999999999935,NA
1035,owa,23,5,2011,2010-10-26,MALİYE BAKANININ BÜTÇE VE KESİN HESAP KANUNU TASARILARINI KOMİSYONA SUNUŞU,sunum,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101026_1035_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101026_1035_owa.txt,ok,ok,18,12326,9.2,2.0600000000000023,NA
1021,owa,23,5,2011,2010-11-02,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI,gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101102_1021_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101102_1021_owa.txt,ok,ok,93,70067,9.3,2.190000000000012,NA
1022,owa,23,5,2011,2010-11-03,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101103_1022_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101103_1022_owa.txt,ok,ok,62,48031,9.3,2.0799999999999983,NA
1023,owa,23,5,2011,2010-11-04,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101104_1023_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101104_1023_owa.txt,ok,ok,49,35579,9.3,2.4399999999999977,NA
1024,owa,23,5,2011,2010-11-05,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101105_1024_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101105_1024_owa.txt,ok,ok,70,51527,9.2,2.1199999999999903,NA
1025,owa,23,5,2011,2010-11-08,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101108_1025_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101108_1025_owa.txt,ok,ok,95,72665,9.2,2.25,NA
1026,owa,23,5,2011,2010-11-09,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101109_1026_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101109_1026_owa.txt,ok,ok,49,37653,9.3,2.010000000000005,NA
1027,owa,23,5,2011,2010-11-10,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101110_1027_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101110_1027_owa.txt,ok,ok,69,52565,9.3,2.049999999999997,NA
1028,owa,23,5,2011,2010-11-11,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101111_1028_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101111_1028_owa.txt,ok,ok,87,68699,9.3,2.1700000000000017,NA
1029,owa,23,5,2011,2010-11-12,2011 YILI MERKEZİ YÖNETİM BÜTÇE KANUNU TASARISI İLE 2009 YILI MERKEZİ YÖNETİM KESİNHESAP KANUNU TASARISI (DEVAM),gorusme,D:/tbmm-butce-soylem/data/raw/pdf/owa/20101112_1029_owa.pdf,D:/tbmm-butce-soylem/data/raw/txt/owa/20101112_1029_owa.txt,ok,ok,52,40569,9.3,1.9599999999999937,NA
