link_metni,pdf_url_ham,pdf_url,gorusme_tarihi,tip,butce_yili,dosya_adi,yerel_pdf_yol,yerel_txt_yol,kaynak
17 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/17-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/17-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-17,gorusme,2021,20201117_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201117_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201117_gorusme_sbb_001.txt,sbb
18 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/18-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/18-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-18,gorusme,2021,20201118_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201118_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201118_gorusme_sbb_001.txt,sbb
19 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/19-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/19-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-19,gorusme,2021,20201119_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201119_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201119_gorusme_sbb_001.txt,sbb
20 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/20-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/20-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-20,gorusme,2021,20201120_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201120_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201120_gorusme_sbb_001.txt,sbb
23 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/23-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/23-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-23,gorusme,2021,20201123_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201123_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201123_gorusme_sbb_001.txt,sbb
24 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/24-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/24-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-24,gorusme,2021,20201124_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201124_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201124_gorusme_sbb_001.txt,sbb
26 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/26-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/26-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-26,gorusme,2021,20201126_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201126_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201126_gorusme_sbb_001.txt,sbb
27 Kasım 2020 Tarihli Görüşme,/wp-content/uploads/2021/03/27-Kasim-2020-Tarihli-Gorusme.pdf,https://www.sbb.gov.tr/wp-content/uploads/2021/03/27-Kasim-2020-Tarihli-Gorusme.pdf,2020-11-27,gorusme,2021,20201127_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20201127_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20201127_gorusme_sbb_001.txt,sbb
24 Ekim 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/24-Ekim-2019_ButceAcilisSunum.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/24-Ekim-2019_ButceAcilisSunum.pdf,2019-10-24,gorusme,2020,20191024_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191024_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191024_gorusme_sbb_001.txt,sbb
6 Kasım 2019 Tarihli Görüşme,/wp-content/uploads/2020/02/06-Kasim-2019_PBK_Gorusmeler.pdf,https://www.sbb.gov.tr/wp-content/uploads/2020/02/06-Kasim-2019_PBK_Gorusmeler.pdf,2019-11-06,gorusme,2020,20191106_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/pdf/sbb/20191106_gorusme_sbb_001.pdf,D:/tbmm-butce-soylem/data/raw/txt/sbb/20191106_gorusme_sbb_001.txt,sbb
