donem,sicil,isim_ham,parti,il,kaynak_url,cekim_tarihi
24,6228,Ferit Mevlüt ASLANOĞLU,CHP,İSTANBUL,manuel,2026-05-27
24,6713,Kazım KURT,CHP,ESKİŞEHİR,manuel,2026-05-27
